"<ID>";"<ENT>Ppv";"Ppv =: se figé";"Ppv =: en figé";"<ENT>V";"Aux =: avoir";"Aux =: être";"N0 être Vpp";"N0 V";"N0 être Vpp W";"N0 V V0-inf W";"Tp = Tc";"Vc =: avoir";"Vc =: être";"Vc =: devoir";"Vc =: pouvoir";"Vc =: savoir";"Vc =: vouloir";"Vc =: aimer";"où N0 V-il ?";"Prép V0-inf W = Ppv";"Loc N1 = ici";"Loc N1 = là";"Loc N1 =: à N1";"Loc N1 =: dans N1";"Loc N1 =: de N1";"Loc N1 =: de V0-inf W";"<OPT>";"<ENGLISH>";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"1";"s'";"+";"-";"abouler";"-";"+";"+";"+";"+";"+";"+";"-";"-";"-";"-";"-";"-";"+";"+";"+";"+";"+";"+";"+";"+";"+";"Max s'est aboulé chercher son fric";"?"
"2";"s'";"+";"-";"absenter";"-";"+";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"Max s'absente voir Luc";"?"
"3";"<E>";"-";"-";"accourir";"+";"+";"-";"+";"-";"+";"+";"-";"-";"-";"-";"-";"-";"-";"+";"+";"+";"+";"+";"+";"+";"-";"Luc est accouru au buffet prendre un verre";"to rush up"
"4";"<E>";"-";"-";"affluer";"+";"-";"-";"+";"-";"+";"+";"-";"-";"-";"-";"-";"-";"-";"+";"+";"+";"+";"+";"+";"+";"-";"La foule affluait sur la place applaudir le président";"to flow"
"5";"<E>";"-";"-";"aller";"-";"+";"-";"-";"-";"+";"+";"-";"-";"-";"-";"-";"-";"-";"+";"+";"-";"+";"+";"+";"-";"-";"Max va à pied chercher du pain";"to go";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"6";"s'en";"+";"+";"aller";"-";"+";"-";"+";"-";"+";"+";"-";"-";"-";"-";"-";"-";"-";"+";"+";"-";"+";"+";"+";"+";"-";"Max s'en va voir Luc";"to go"
"7";"<E>";"-";"-";"alunir";"+";"-";"-";"+";"-";"+";"+";"-";"-";"-";"-";"-";"-";"-";"+";"+";"+";"+";"+";"+";"-";"-";"Les astronautes ont aluni retrouver le vaisseau";"to land on the moon"
"8";"s'";"+";"-";"amasser";"-";"+";"-";"+";"-";"+";"+";"-";"-";"-";"-";"-";"-";"-";"-";"+";"+";"+";"+";"+";"-";"-";"La foule s'amasse sur la place regarder le défilé";"?"
"9";"s'";"+";"-";"amener";"-";"+";"-";"+";"-";"+";"+";"-";"-";"-";"-";"-";"-";"-";"+";"-";"+";"+";"+";"+";"+";"+";"Léa s'amène se verser un whisky";"?"
"10";"<E>";"-";"-";"amerrir";"+";"-";"-";"+";"-";"+";"+";"-";"-";"-";"-";"-";"-";"-";"+";"+";"+";"+";"+";"+";"-";"-";"L'équipage a amerri récupérer les naufragés";"to land on the sea"
