"<ID>";"N0 être V-n";"N1 V";"<ENT>Ppv";"<ENT>V";"Aux =: avoir";"Aux =: être";"V = convertir en V-n";"V = mettre en V-n";"N0 rendre N1 (E+plus) V-adj";"N1 =: Nhum";"N0 lui V N1pc W";"N0 V N1 Loc N1pc W";"N0 V N0pc W";"N1 =: N-hum";"N1 =: le fait Qu P";"Ppv =: le";"N0 V N2";"N2 =: Nhum";"N2 =: N-hum";"N1 être Vpp W";"N0 être V-n (forme V-n)";"V = convertir en V-n (forme V-n)";"V = mettre en V-n (forme V-n)";"N2 être V-n (forme V-n)";"<OPT>"
"11";"-";"-";"<E>";"capitaliser";"+";"-";"+";"-";"-";"-";"-";"-";"-";"+";"-";"+";"+";"-";"+";"+";"<E>";"capital";"<E>";"capital";"Max capitalise les intérêts de son prêt"
"12";"-";"-";"<E>";"caraméliser";"+";"-";"+";"-";"-";"-";"+";"+";"-";"+";"-";"+";"-";"-";"+";"+";"<E>";"caramel";"<E>";"caramel";"Max a caramélisé son sucre"
"13";"-";"+";"<E>";"carboniser";"+";"-";"+";"-";"-";"-";"+";"+";"-";"+";"-";"+";"-";"-";"+";"+";"<E>";"charbon";"<E>";"charbon";"Le feu a carbonisé la bûche"
"14";"~";"~";"<E>";"cartonner";"+";"-";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"<E>";"<E>";"<E>";"carton";"Le gel a cartonné la neige"
"15";"-";"+";"<E>";"champagniser";"+";"-";"+";"-";"-";"-";"+";"-";"-";"+";"-";"+";"-";"-";"+";"+";"<E>";"champagne";"<E>";"champagne";"Max champagnise sa piquette"
"16";"~";"~";"<E>";"charteriser";"+";"-";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"<E>";"<E>";"<E>";"charter";"Cette campagne charterise des avions"
"17";"-";"+";"<E>";"chiffonner";"+";"-";"+";"-";"-";"-";"+";"+";"-";"+";"-";"+";"+";"-";"+";"+";"<E>";"chiffon";"<E>";"chiffon";"Max chiffonne la feuille"
"18";"+";"~";"<E>";"chorégraphier";"+";"-";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"chorégraphe";"<E>";"<E>";"chorégraphie";"Max a chorégraphié (cette histoire+ce ballet)"
"19";"-";"+";"<E>";"chroniquer";"+";"-";"-";"+";"-";"-";"-";"-";"-";"+";"+";"+";"+";"-";"+";"+";"<E>";"<E>";"chronique";"chronique";"Max chronique les événements sportifs"
"20";"~";"~";"<E>";"clochardiser";"+";"-";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"<E>";"<E>";"<E>";"clochard";"Cette loi clochardise les cadres"
"21";"-";"+";"<E>";"cocufier";"+";"-";"+";"-";"+";"+";"-";"-";"-";"-";"+";"+";"-";"+";"+";"+";"<E>";"cocu";"<E>";"cocu";"Léa a cocufié Max"
"22";"-";"-";"<E>";"codifier";"+";"-";"-";"+";"-";"-";"-";"-";"-";"+";"+";"+";"-";"-";"+";"+";"<E>";"<E>";"code";"code";"Les juristes codifient les lois"
"23";"-";"+";"<E>";"cokéfier";"+";"-";"+";"-";"-";"-";"-";"-";"-";"+";"-";"+";"-";"-";"+";"+";"<E>";"coke";"<E>";"coke";"Max cokéfie la houille"
"24";"+";"-";"<E>";"coloniser";"+";"-";"+";"-";"-";"+";"+";"+";"-";"+";"+";"+";"-";"-";"+";"+";"colon";"colonie";"<E>";"colonie";"La France a colonisé l'Afrique de l'ouest"
"25";"~";"~";"<E>";"composter";"+";"-";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"<E>";"<E>";"<E>";"compost";"Max composte les matières organiques"
"26";"~";"~";"<E>";"concentrer";"+";"-";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"<E>";"<E>";"<E>";"concentré";"Max concentre les tomates en un concentré"
"27";"~";"~";"<E>";"conceptualiser";"+";"-";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"<E>";"<E>";"<E>";"concept";"Max a conceptualisé cette idée en termes de catégories de base"
"28";"-";"+";"<E>";"condenser";"+";"-";"+";"-";"+";"-";"-";"-";"-";"+";"-";"+";"-";"-";"+";"+";"<E>";"condensat";"<E>";"condensat";"Max condense ce gaz en fines gouttelettes"
"29";"~";"~";"<E>";"condenser";"+";"-";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"<E>";"<E>";"<E>";"condensé";"Max condense son lait en condensé"
"30";"~";"~";"<E>";"corder";"+";"-";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"<E>";"<E>";"<E>";"corde";"Max corde du chanvre en câbles"
"31";"-";"+";"<E>";"cristalliser";"+";"-";"+";"-";"-";"-";"+";"+";"-";"+";"-";"+";"-";"-";"+";"+";"<E>";"cristal";"<E>";"cristal";"Max cristallise du sel en trémies"
"32";"~";"~";"<E>";"damer";"+";"-";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"<E>";"<E>";"<E>";"dame";"Max dame son pion"
"33";"-";"-";"<E>";"déifier";"+";"-";"+";"-";"-";"+";"+";"-";"-";"+";"-";"+";"-";"+";"+";"+";"<E>";"dieu";"<E>";"dieu";"Max déifie Ida"
"34";"~";"~";"<E>";"départementaliser";"+";"-";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"<E>";"<E>";"<E>";"département";"On a départementalisé la Guadeloupe"
"35";"~";"~";"<E>";"désertifier";"+";"-";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"<E>";"<E>";"<E>";"désert";"Cette catastrophe a désertifié la région"
"36";"~";"~";"<E>";"diaboliser";"+";"-";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"<E>";"<E>";"<E>";"diable";"On a diabolisé '(les USA+cet homme politique)"
"37";"-";"-";"<E>";"diphtonguer";"+";"-";"+";"-";"-";"-";"-";"-";"-";"+";"-";"+";"-";"-";"+";"+";"<E>";"diphtongue";"<E>";"diphtongue";"Max a diphtongué ses é en ié"
"38";"~";"~";"<E>";"écharpiller";"+";"-";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"<E>";"<E>";"<E>";"écharpe";"Max a écharpillé l'étoffe"
"39";"-";"+";"<E>";"émulsionner";"+";"-";"+";"-";"-";"-";"-";"-";"-";"+";"-";"+";"-";"-";"+";"+";"<E>";"émulsion";"<E>";"émulsion";"Max a émulsionné l'huile avec de l'eau"
"40";"-";"-";"<E>";"épointer";"+";"-";"-";"+";"-";"-";"+";"-";"-";"+";"-";"+";"-";"-";"+";"+";"<E>";"<E>";"pointe";"pointe";"Max épointe son cure-dent"
"41";"-";"+";"<E>";"évaporer";"+";"-";"+";"-";"-";"-";"-";"-";"-";"+";"-";"+";"-";"-";"+";"+";"<E>";"vapeur";"<E>";"vapeur";"La chaleur évapore le mercure"
"42";"~";"~";"<E>";"féminiser";"+";"-";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"<E>";"<E>";"<E>";"femme";"Cette opération a féminisé Max"
"43";"-";"-";"<E>";"fétichiser";"+";"-";"+";"-";"-";"-";"+";"-";"-";"+";"+";"+";"-";"-";"+";"-";"<E>";"fétiche";"<E>";"fétiche";"Max fétichise les bottines de Léa"
"44";"-";"-";"<E>";"filer";"+";"-";"-";"+";"-";"-";"-";"-";"-";"+";"-";"+";"+";"-";"+";"+";"<E>";"<E>";"fil";"fil";"Ida file la laine en torons réguliers"
"45";"~";"~";"<E>";"filialiser";"+";"-";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"<E>";"<E>";"<E>";"filiale";"On a filialisé cette entreprise en filiale d'un groupe"
"46";"-";"+";"<E>";"finlandiser";"+";"-";"-";"-";"-";"-";"-";"-";"-";"+";"-";"+";"-";"-";"+";"+";"<E>";"<E>";"<E>";"Finlande";"Ce traité a finlandisé le pays"
"47";"~";"~";"<E>";"former";"+";"-";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"<E>";"<E>";"<E>";"forme";"Le vent a formé les nuages en cumulus"
"48";"~";"~";"<E>";"fossiliser";"+";"-";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"<E>";"<E>";"<E>";"fossile";"Les glaciations ont fossilisé ce bois"
"49";"-";"+";"<E>";"fuseler";"+";"-";"-";"+";"-";"-";"+";"+";"-";"+";"-";"+";"+";"-";"+";"+";"<E>";"<E>";"fuseau";"fuseau";"Max a fuselé la cire en une forme oblongue"
"50";"-";"-";"<E>";"gazéifier";"+";"-";"+";"-";"-";"-";"+";"-";"-";"+";"-";"+";"+";"-";"+";"+";"<E>";"gaz";"<E>";"gaz";"On gazéifie le coke en gaz d'éclairage"
"51";"~";"~";"<E>";"gélatiniser";"+";"-";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"<E>";"gélatine";"<E>";"gélatine";"La réaction gélatinise ce mélange"
"52";"-";"-";"<E>";"gélifier";"+";"-";"+";"-";"-";"-";"-";"-";"-";"+";"-";"+";"-";"-";"+";"+";"<E>";"gelée";"<E>";"gelée";"La pectine gélifie (les confitures+l'huile)"
"53";"~";"~";"<E>";"glacer";"+";"-";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"<E>";"glace";"<E>";"glace";"On a glacé la crème au congélateur"
"54";"~";"~";"<E>";"holographier";"+";"-";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"<E>";"<E>";"<E>";"holographe";"On a holographié cette photo"
"55";"-";"-";"<E>";"incinérer";"+";"-";"+";"-";"-";"-";"+";"-";"-";"+";"-";"+";"-";"-";"+";"+";"<E>";"cendre";"<E>";"cendre";"On incinère les ordures"
"56";"-";"-";"<E>";"italiser";"+";"-";"-";"+";"-";"-";"+";"-";"-";"+";"-";"+";"-";"-";"+";"-";"<E>";"<E>";"italique";"italique";"Cette revue italise les titres"
"57";"+";"~";"<E>";"jazzifier";"+";"-";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"jazzman";"jazz";"<E>";"jazz";"Bob a jazzifié cet air"
"58";"~";"~";"<E>";"kaoliniser";"+";"-";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"<E>";"<E>";"<E>";"kaolin";"Le procédé kaolinise l'argile"
"59";"~";"~";"<E>";"lamifier";"+";"-";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"<E>";"lame";"<E>";"lame";"On a lamifié cette pièce de bois"
"60";"-";"-";"<E>";"laminer";"+";"-";"-";"-";"-";"-";"+";"-";"-";"+";"-";"+";"+";"-";"+";"+";"<E>";"<E>";"<E>";"lame";"Cette machine lamine les lingots en feuilles épaisses"
"61";"~";"~";"<E>";"madériser";"+";"-";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"<E>";"madère";"<E>";"madère";"Ce procédé madérise le vin"
"62";"-";"-";"<E>";"mansarder";"+";"-";"+";"-";"-";"-";"+";"-";"-";"+";"-";"+";"-";"-";"+";"+";"<E>";"mansarde";"<E>";"mansarde";"Max a mansardé son grenier"
"63";"-";"-";"<E>";"momifier";"+";"-";"+";"-";"-";"-";"+";"+";"-";"+";"-";"+";"-";"+";"+";"+";"<E>";"momie";"<E>";"momie";"Les siècles ont momifié tout"
"64";"-";"-";"<E>";"monétiser";"+";"-";"+";"-";"-";"-";"-";"-";"-";"+";"-";"+";"-";"-";"+";"+";"<E>";"monnaie";"<E>";"monnaie";"On a monétisé ce métal"
"65";"-";"-";"<E>";"monnayer";"+";"-";"+";"-";"-";"+";"-";"-";"-";"+";"-";"+";"-";"-";"+";"+";"<E>";"monnaie";"<E>";"monnaie";"Max a monnayé son argenterie"
"66";"~";"~";"<E>";"mutualiser";"+";"-";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"<E>";"<E>";"<E>";"mutuelle";"On a mutualisé cette société"
"67";"-";"-";"<E>";"mythifier";"+";"-";"+";"-";"+";"-";"+";"-";"-";"+";"+";"+";"-";"-";"+";"-";"<E>";"mythe";"<E>";"mythe";"On a mythifié Homère"
"68";"-";"-";"<E>";"nominaliser";"+";"-";"+";"-";"-";"-";"+";"-";"-";"+";"-";"+";"-";"-";"+";"+";"<E>";"nom";"<E>";"nom";"Max nominalise les adjectifs"
"69";"~";"~";"<E>";"notabiliser";"+";"-";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"<E>";"notable";"<E>";"notable";"Sa position a notabilisé Paul"
"70";"-";"+";"<E>";"ossifier";"+";"-";"+";"-";"-";"-";"+";"+";"-";"+";"-";"+";"-";"-";"+";"+";"<E>";"os";"<E>";"os";"Une longue immobilisation a ossifié les tissus"
"71";"-";"-";"<E>";"panifier";"+";"-";"+";"-";"-";"-";"-";"-";"-";"+";"-";"+";"-";"-";"+";"+";"<E>";"pain";"<E>";"pain";"Max a panifié la farine en baguettes croustillantes"
"72";"~";"~";"<E>";"paqueter";"+";"-";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"<E>";"<E>";"<E>";"paquet";"Max a paqueté (le livre+les livres)"
"73";"-";"+";"<E>";"parcheminer";"+";"-";"+";"-";"-";"-";"+";"+";"-";"+";"-";"+";"-";"-";"+";"+";"<E>";"parchemin";"<E>";"parchemin";"Le vent lui a parcheminé la peau"
"74";"-";"-";"<E>";"passiver";"+";"-";"-";"+";"+";"-";"+";"-";"-";"+";"-";"+";"-";"-";"+";"+";"<E>";"<E>";"passif";"passif";"Max a passivé cette phrase"
"75";"~";"~";"<E>";"paupériser";"+";"-";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"<E>";"<E>";"<E>";"pauvre";"Ces mesures ont paupérisé cette population"
"76";"-";"-";"<E>";"pétrifier";"+";"-";"+";"-";"-";"-";"+";"+";"-";"+";"-";"+";"-";"-";"+";"+";"<E>";"pierre";"<E>";"pierre";"La silice pétrifie le bois"
"77";"~";"~";"<E>";"phonétiser";"+";"-";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"<E>";"<E>";"<E>";"phonétique";"Paul a phonétisé cette graphie"
"78";"~";"~";"<E>";"pidginiser";"+";"-";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"<E>";"<E>";"<E>";"pidgin";"Les apports ont pidginisé cette langue"
"79";"~";"~";"<E>";"polariser";"+";"-";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"<E>";"<E>";"<E>";"?";"On a polarisé les éléments"
"80";"~";"~";"<E>";"poldériser";"+";"-";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"<E>";"<E>";"<E>";"polder";"On a poldérisé cette région"
"81";"-";"+";"<E>";"polymériser";"+";"-";"+";"-";"+";"-";"-";"-";"-";"+";"-";"+";"-";"-";"+";"+";"<E>";"polymère";"<E>";"polymère";"Ce procédé polymérise l'acétylène en benzène"
"82";"-";"+";"<E>";"précipiter";"+";"-";"-";"-";"-";"-";"+";"-";"-";"+";"-";"+";"+";"-";"+";"-";"<E>";"<E>";"<E>";"précipité";"Ce procédé précipite la solution en un précipité blanc"
"83";"~";"~";"<E>";"pronominaliser";"+";"-";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"<E>";"pronom";"<E>";"pronom";"Max a pronominalisé ce substantif"
"84";"~";"~";"<E>";"proverbialiser";"+";"-";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"<E>";"proverbe";"<E>";"proverbe";"Max a proverbialisé cette phrase"
"85";"~";"~";"<E>";"refondre";"+";"-";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"<E>";"<E>";"<E>";"refonte";"Max a refondu son(texte+dictionnaire)"
"86";"~";"~";"<E>";"relativiser";"+";"-";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"<E>";"<E>";"<E>";"relative";"Max relativise cette(phrase+proposition)"
"87";"-";"-";"<E>";"résumer";"+";"-";"-";"+";"-";"-";"-";"-";"-";"+";"+";"+";"-";"-";"+";"+";"<E>";"<E>";"résumé";"résumé";"Max a résumé l'intrigue en quelques lignes"
"88";"-";"-";"<E>";"robotiser";"+";"-";"+";"-";"+";"+";"+";"-";"-";"-";"-";"+";"-";"-";"+";"+";"<E>";"robot";"<E>";"robot";"Ces règlements ont robotisé les fonctionnaires"
"89";"-";"-";"<E>";"romancer";"+";"-";"-";"+";"-";"-";"-";"-";"-";"+";"+";"+";"-";"-";"+";"+";"<E>";"<E>";"roman";"roman";"Max a romancé (son récit+les événements+la biographie d'Ida)d'anecdotes"
"90";"-";"-";"<E>";"rouler";"+";"-";"-";"+";"-";"-";"+";"-";"-";"+";"-";"+";"+";"-";"+";"+";"<E>";"<E>";"rouleau";"rouleau";"Max a roulé les papiers en un mince rouleau"
"91";"~";"~";"<E>";"sanctuariser";"+";"-";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"<E>";"<E>";"<E>";"sanctuaire";"On a sanctuarisé cette région"
"92";"-";"-";"<E>";"saponifier";"+";"-";"+";"-";"-";"-";"+";"-";"-";"+";"-";"+";"+";"-";"+";"+";"<E>";"savon";"<E>";"savon";"Ce procédé saponifie les huiles"
"93";"~";"~";"<E>";"sataniser";"+";"-";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"<E>";"<E>";"<E>";"satan";"On a satanisé (les USA+cet homme politique)"
"94";"-";"+";"<E>";"satelliser";"+";"-";"-";"-";"-";"-";"+";"-";"-";"+";"-";"+";"-";"-";"+";"+";"<E>";"<E>";"<E>";"satellite";"Ce traité a satellisé le Tchad"
"95";"~";"~";"<E>";"scénariser";"+";"-";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"<E>";"scénario";"<E>";"scénario";"Max a scénarisé sa vie en scénario"
"96";"-";"-";"<E>";"spiraler";"+";"-";"-";"+";"-";"-";"+";"-";"-";"+";"-";"+";"+";"-";"+";"+";"<E>";"<E>";"spirale";"spirale";"Paul a spiralé le fil de fer"
"97";"~";"~";"<E>";"starifier";"+";"-";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"<E>";"star";"<E>";"star";"Le LADL a starifié Max"
"98";"~";"~";"<E>";"stariser";"+";"-";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"<E>";"star";"<E>";"star";"Le LADL a starisé Max"
"99";"~";"~";"<E>";"structurer";"+";"-";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"<E>";"<E>";"<E>";"structure";"On a structuré les tubes en échafaudage"
"100";"~";"~";"<E>";"substantiver";"+";"-";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"<E>";"substantif";"<E>";"substantif";"On substantive les adjectifs"
"101";"~";"~";"<E>";"taudifier";"+";"-";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"<E>";"taudis";"<E>";"taudis";"On a taudifié ces maisons"
"102";"+";"~";"<E>";"théoriser";"+";"-";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"théorie";"théorie";"<E>";"théorie";"Max a théorisé les faits"
"103";"~";"~";"<E>";"toaster";"+";"-";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"<E>";"toast";"<E>";"toast";"Max a toasté son pain"
"104";"-";"-";"<E>";"torchonner";"+";"-";"+";"-";"-";"-";"-";"-";"-";"+";"-";"+";"+";"-";"+";"+";"<E>";"torchon";"<E>";"torchon";"Ida torchonne sa serviette"
"105";"-";"-";"<E>";"torsader";"+";"-";"-";"+";"-";"-";"+";"-";"-";"+";"-";"+";"+";"-";"+";"+";"<E>";"<E>";"torsade";"torsade";"Max a torsadé la colonne"
"106";"~";"~";"<E>";"transcoder";"+";"-";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"<E>";"<E>";"<E>";"code";"Max transcode ce texte dans un code plus sûr"
"107";"-";"-";"<E>";"tréfiler";"+";"-";"+";"-";"-";"-";"-";"-";"-";"+";"-";"+";"-";"-";"+";"+";"<E>";"fil";"<E>";"fil";"Max tréfile le lingot en fils minces"
"108";"~";"~";"<E>";"valser";"+";"-";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"<E>";"<E>";"<E>";"valse";"Max a valsé ce tango"
"109";"-";"-";"<E>";"vaporiser";"+";"-";"+";"-";"-";"-";"+";"-";"-";"+";"-";"+";"+";"-";"+";"+";"<E>";"vapeur";"<E>";"vapeur";"Max vaporise de l'eau en brouillard"
"110";"~";"~";"<E>";"vedettiser";"+";"-";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"<E>";"vedette";"<E>";"vedette";"Les médias ont vedettisé Ida"
"111";"-";"-";"<E>";"versifier";"+";"-";"-";"+";"-";"-";"-";"-";"-";"+";"-";"+";"+";"-";"+";"+";"<E>";"<E>";"vers";"vers";"Max a versifié son conte"
"112";"~";"~";"<E>";"vinifier";"+";"-";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"<E>";"vin";"<E>";"vin";"On a vinifié ce jus de raisin"
"113";"-";"+";"<E>";"vitrifier";"+";"-";"+";"-";"-";"-";"+";"+";"-";"+";"-";"+";"-";"-";"+";"+";"<E>";"verre";"<E>";"verre";"On vitrifie la salle au four"
"114";"-";"+";"<E>";"vriller";"+";"-";"-";"+";"-";"-";"+";"-";"-";"+";"-";"+";"-";"-";"+";"+";"<E>";"<E>";"vrille";"vrille";"La rotation du colis a vrillé la corde"

