"<ID>";"N0 =: Nhum";"N0 =: Nnr";"N0 =: le fait Qu P";"N0 =: V1-inf W";"N0 =: V2-inf W";"<ENT>Ppv";"<ENT>V";"Aux =: avoir";"Aux =: être";"N0 V";"N0 V N1";"N1 =: Nhum";"N1 =: N-hum";"N0 V N2";"N0 V N2 =: N0 V Qu Psubj";"N0 être V-ant pour N1";"N1 se V de ce Qu P";"N1 se V auprès de N3hum de ce Qu P";"N1 être Vpp par N0";"N1 être Vpp de N0";"N0 V Prép N2";"N2 =: Qu Pind";"N2 =: Qu Psubj";"Prép N2 =: Prép ce Qu P = Qu P";"N2 =: si P ou si P";"N2 =: V0-inf W";"N2 =: V1-inf W";"Tc =: passé";"Tc =: futur";"N2 =: ce(ci+la)";"Prép N2 =: Prép Qu P = Ppv";"N2 =: Nhum";"N2 =: N-hum";"N2 =: le fait Qu P";"il être Vpp Prép N2 (E+par N0)";"N1 être Vpp par N0 de ce Qu P";"N1 être Vpp de N0 de ce Qu P";"<OPT>";"<ENGLISH>";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"1";"+";"+";"+";"+";"-";"<E>";"absoudre";"+";"-";"+";"+";"+";"-";"+";"+";"+";"-";"-";"+";"-";"+";"+";"-";"-";"-";"-";"+";"+";"-";"+";"+";"-";"+";"-";"-";"+";"-";"Max a absous Léa de ce qu'elle s'était trompée";"to absolve"
"2";"+";"+";"+";"+";"-";"<E>";"accabler";"+";"-";"-";"+";"+";"-";"-";"-";"+";"+";"-";"+";"+";"+";"+";"-";"-";"-";"-";"+";"+";"-";"+";"+";"-";"+";"-";"-";"+";"+";"Guy accable Max d'avoir voté contre lui";"to overwhelm"
"3";"+";"+";"+";"+";"-";"<E>";"accabler";"+";"-";"+";"+";"+";"+";"-";"-";"+";"-";"-";"+";"-";"+";"+";"+";"-";"-";"-";"+";"+";"-";"+";"+";"-";"+";"-";"-";"+";"-";"Le départ de Léa accable Luc";"to overwhelm"
"4";"+";"+";"+";"+";"-";"<E>";"accuser";"+";"-";"+";"+";"+";"+";"+";"+";"-";"+";"+";"+";"-";"+";"+";"+";"-";"-";"-";"+";"+";"-";"+";"+";"-";"+";"+";"-";"+";"-";"Max accuse Marie de ce qu'elle a commis ce vol";"to accuse"
"5";"+";"+";"+";"+";"-";"<E>";"acquitter";"+";"-";"-";"-";"+";"-";"+";"-";"-";"+";"-";"+";"-";"-";"+";"+";"-";"-";"-";"+";"+";"-";"+";"+";"-";"+";"-";"-";"-";"-";"Ceci acquitte Léa d'avoir à payer";"to acquit"
"6";"+";"-";"-";"-";"-";"<E>";"acquitter";"+";"-";"-";"+";"+";"-";"-";"-";"-";"-";"-";"+";"+";"-";"-";"-";"+";"-";"-";"+";"+";"-";"+";"+";"-";"+";"-";"-";"+";"-";"Le jury acquitte Paul d'avoir commis ce crime";"?"
"7";"+";"-";"-";"-";"-";"<E>";"adjurer";"+";"-";"-";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"+";"+";"-";"-";"+";"-";"+";"+";"+";"-";"-";"-";"-";"+";"-";"Max a adjuré Luc d'avouer son crime";"to implore"
"8";"+";"-";"-";"-";"-";"<E>";"admonester";"+";"-";"-";"+";"+";"-";"-";"-";"-";"-";"-";"+";"-";"-";"+";"+";"-";"-";"-";"+";"+";"+";"+";"+";"-";"+";"-";"-";"+";"-";"On a admonesté Paul d'être arrivé en retard";"to admonish"
"9";"+";"+";"+";"+";"-";"<E>";"affranchir";"+";"-";"+";"+";"+";"-";"-";"-";"+";"+";"-";"+";"-";"+";"-";"+";"-";"-";"-";"+";"-";"+";"+";"+";"+";"+";"+";"-";"+";"-";"Cette machine affranchit les femmes de ce qu'elles aient à faire la vaisselle";"?"
"10";"+";"-";"+";"-";"-";"<E>";"affranchir";"+";"-";"-";"+";"+";"-";"-";"-";"-";"-";"+";"+";"-";"+";"+";"-";"+";"-";"-";"-";"+";"+";"+";"+";"-";"+";"+";"-";"+";"-";"Paulo affranchit Luc de ce que les flics arrivent";"to give one the lowdown"
