"<ID>";"N1 V W";"N2 V N1";"<ENT>Ppv";"<ENT>V";"Aux =: avoir";"Aux =: être";"dé-V";"N1 =: Nhum";"N1 =: N-hum";"N1 =: Npc obl";"N0 V N1";"Prép2 =: avec";"Prép2 =: dans";"Prép2 =: en";"N2 =: Nhum";"N2 =: N-hum";"N2 =: trou";"N2 =: couche";"N2 =: coup";"N2 apparition";"N2 =: Npl obl";"N2 être V-n, Sfx = E";"N2 être V-n, Sfx # E";"Sfx =: age";"Sfx =: ment";"Sfx =: tion";"Sfx =: ure";"V-n instrument";"N1 =: texte, N2 =: mot";"N1 =: esprit, N2 =: idée";"N0 V N1hum de N2abs";"N0 V N2 (E+Loc N1 destination)";"N0 mettre V-n Loc N1";"N0 faire V-n Prép N1";"N0 donner V-n à N1";"N0 donner à N1 (une apparence Vpp+l'apparence de V-n)";"N0 lancer V-n Loc N1";"V-n instrument (forme V-n)";"<OPT>"
"1";"~";"~";"<E>";"accessoiriser";"+";"-";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"+";"-";"-";"-";"-";"-";"-";"~";"~";"~";"~";"-";"-";"-";"-";"-";"<E>";" Accessoiriser un vêtement d'accessoires divers"
"2";"-";"+";"<E>";"aciduler";"+";"-";"+";"~";"+";"-";"+";"+";"-";"-";"~";"+";"-";"-";"-";"-";"-";"+";"-";"-";"-";"-";"-";"-";"+";"-";"-";"-";"+";"-";"-";"-";"-";"<E>";"Marie acidule les bonbons de citron"
"3";"-";"+";"<E>";"aérer";"+";"-";"-";"~";"+";"-";"-";"-";"-";"-";"~";"+";"-";"-";"-";"-";"-";"+";"-";"-";"-";"-";"-";"-";"-";"+";"-";"-";"+";"-";"-";"-";"-";"<E>";"Max a aéré la pièce d'un peu d'air frais"
"4";"-";"+";"<E>";"ailler";"+";"-";"+";"~";"+";"-";"+";"+";"-";"-";"~";"+";"-";"-";"-";"-";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"+";"-";"-";"-";"-";"<E>";"Max aille le gigot d'une gousse entière"
"5";"-";"+";"<E>";"alcooliser";"+";"-";"+";"~";"+";"-";"+";"+";"-";"-";"~";"+";"-";"-";"-";"-";"-";"+";"-";"-";"-";"-";"-";"-";"-";"+";"-";"-";"+";"-";"-";"-";"-";"<E>";"Max alcoolise son baba de rhum"
"6";"-";"+";"<E>";"amidonner";"+";"-";"+";"~";"+";"-";"+";"+";"-";"-";"~";"+";"-";"+";"-";"-";"-";"+";"-";"-";"-";"-";"-";"-";"+";"+";"+";"+";"+";"-";"-";"-";"-";"<E>";"Max amidonne son linge d'amidon lourd"
"7";"-";"+";"<E>";"aniser";"+";"-";"+";"~";"+";"-";"+";"+";"-";"-";"~";"+";"-";"-";"-";"-";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"+";"-";"-";"-";"-";"<E>";"Max anise son alcool d'anis synthétique"
"8";"-";"+";"<E>";"apprêter";"+";"-";"+";"~";"+";"-";"+";"+";"-";"-";"~";"+";"-";"-";"-";"-";"-";"+";"-";"-";"-";"-";"-";"-";"-";"+";"-";"-";"+";"-";"-";"-";"-";"<E>";"Max apprête ce tissu d'un apprêt chimique"
"9";"~";"~";"<E>";"arc-bouter";"+";"-";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"-";"+";"-";"-";"-";"-";"-";"~";"~";"~";"~";"-";"+";"-";"-";"-";"<E>";"Max arc-boute la voûte"
"10";"-";"+";"<E>";"ardoiser";"+";"-";"+";"~";"+";"-";"+";"+";"-";"+";"~";"+";"-";"+";"-";"-";"+";"+";"+";"+";"-";"-";"-";"-";"-";"-";"-";"-";"+";"-";"-";"-";"-";"<E>";"Max ardoise son toit d'ardoises ardennaises"
