"<ID>";"N1 V W";"N2 V N1";"<ENT>Ppv";"<ENT>V";"Aux =: avoir";"Aux =: être";"dé-V";"N1 =: Nhum";"N1 =: N-hum";"N1 =: Npc obl";"N0 V N1";"Prép2 =: avec";"Prép2 =: dans";"Prép2 =: en";"N2 =: Nhum";"N2 =: N-hum";"N2 =: trou";"N2 =: couche";"N2 =: coup";"N2 apparition";"N2 =: Npl obl";"N2 être V-n, Sfx = E";"N2 être V-n, Sfx # E";"Sfx =: age";"Sfx =: ment";"Sfx =: tion";"Sfx =: ure";"V-n instrument";"N1 =: texte, N2 =: mot";"N1 =: esprit, N2 =: idée";"N0 V N1hum de N2abs";"N0 V N2 (E+Loc N1 destination)";"N0 mettre V-n Loc N1";"N0 faire V-n Prép N1";"N0 donner V-n à N1";"N0 donner à N1 (une apparence Vpp+l'apparence de V-n)";"N0 lancer V-n Loc N1";"V-n instrument (forme V-n)";"<OPT>"
"1";"~";"~";"<E>";"accastiller";"+";"-";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"-";"+";"+";"-";"-";"-";"-";"~";"~";"~";"~";"+";"-";"-";"-";"-";"<E>";"On a accastillé le bateau de matériel sophistiqué"
"2";"-";"+";"<E>";"accommoder";"+";"-";"-";"~";"+";"-";"+";"+";"-";"-";"~";"+";"-";"-";"-";"-";"-";"-";"+";"-";"+";"-";"-";"-";"+";"-";"-";"+";"-";"+";"-";"-";"-";"<E>";"Max accommode ce poisson d'une sauce verte"
"3";"-";"+";"<E>";"additionner";"+";"-";"-";"~";"+";"-";"-";"+";"-";"-";"~";"+";"-";"-";"-";"-";"-";"+";"-";"-";"-";"-";"-";"-";"+";"-";"-";"+";"+";"-";"-";"-";"-";"<E>";"Max a additionné son vin d'eau"
"4";"~";"~";"<E>";"adorner";"+";"-";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"On a adorné sa cheminée d'un bibelot"
"5";"~";"~";"<E>";"affubler";"+";"-";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"-";"-";"-";"-";"-";"-";"-";"~";"~";"~";"~";"-";"-";"-";"-";"-";"<E>";"La nature a affublé Jo d'un gros nez"
"6";"~";"~";"<E>";"aleviner";"+";"-";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"+";"-";"-";"-";"-";"-";"-";"~";"~";"~";"~";"+";"-";"-";"-";"-";"<E>";"Max a aleviné son étang de jeunes truites"
"7";"~";"~";"<E>";"alimenter";"+";"-";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"-";"-";"-";"-";"-";"-";"-";"~";"~";"~";"~";"-";"-";"-";"-";"-";"<E>";"Max alimente la conversation de remarques bêtes"
"8";"-";"+";"<E>";"arrêter";"+";"-";"-";"~";"+";"-";"+";"+";"-";"-";"~";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"<E>";"Max a arrêté la déchirure d'un point de colle"
"9";"-";"-";"<E>";"arroser";"+";"-";"-";"~";"+";"-";"+";"+";"-";"-";"~";"+";"-";"-";"-";"-";"-";"-";"+";"+";"-";"-";"-";"-";"+";"-";"+";"-";"-";"+";"-";"-";"-";"<E>";"Max arrose ses fleurs d'insecticide"
"10";"-";"-";"<E>";"asperger";"+";"-";"-";"~";"+";"-";"+";"+";"-";"-";"~";"+";"-";"-";"-";"-";"+";"-";"+";"-";"-";"+";"-";"-";"+";"+";"+";"+";"-";"-";"-";"-";"+";"<E>";"Max asperge ses fleurs d'insecticide"
