"<ID>";"N0 =: Nhum";"N0 =: N-hum";"Ppv =: en figé";"Ppv =: y figé";"Ppv =: Neg";"<ENT>Ppv";"<ENT>V";"N0 V";"<ENT>Poss1";"autre Det1";"<ENT>C1";"C1 =: Npc";"[passif]";"N0 se V Ddéf1 C1";"Exemple"
"52";"+";"-";"-";"-";"-";"<E>";" attendre";"+";" son";"+";" tour";"-";"-";"-";"§attendre§son tour "
"53";"+";"-";"-";"-";"-";"<E>";" augmenter";"-";" son";"+";" capital";"-";"+";"-";"§augmenter§son capital "
"54";"+";"-";"-";"-";"-";"<E>";" avaler";"-";" son";"-";" acte de naissance";"-";"+";"-";"§avaler§son acte de naissance "
"55";"+";"-";"-";"-";"-";"<E>";" avaler";"-";" son";"-";" bulletin de naissance";"-";"+";"-";"§avaler§son bulletin de naissance "
"56";"+";"-";"-";"-";"-";"<E>";" avaler";"-";" sa";"-";" cane";"-";"-";"-";"§avaler§sa cane "
"57";"+";"-";"-";"-";"-";"<E>";" avaler";"-";" sa";"-";" chique";"-";"-";"-";"§avaler§sa chique "
"58";"+";"-";"-";"-";"-";"<E>";" avaler";"-";" sa";"-";" langue";"+";"-";"-";"§avaler§sa langue "
"59";"+";"-";"-";"-";"-";"<E>";" avaler";"-";" son";"-";" parapluie";"-";"-";"-";"§avaler§son parapluie "
"60";"+";"-";"-";"-";"-";"<E>";" avaler";"-";" sa";"-";" salive";"-";"-";"-";"§avaler§sa salive "
"61";"+";"-";"-";"-";"-";"<E>";" avouer";"-";" ses";"+";" torts";"-";"+";"-";"§avouer§ses torts "
"62";"+";"-";"-";"-";"-";"<E>";" bâcler";"-";" son";"+";" travail";"-";"+";"-";"§bâcler§son travail "
"63";"+";"-";"-";"-";"-";"<E>";" bander";"-";" ses";"-";" efforts";"-";"+";"-";"§bander§ses efforts "
"64";"+";"-";"-";"-";"-";"<E>";" battre";"-";" sa";"-";" coulpe";"-";"-";"-";"§battre§sa coulpe "
"65";"+";"-";"-";"-";"-";"<E>";" battre";"-";" sa";"-";" femme";"-";"-";"-";"§battre§sa femme "
"66";"-";"+";"-";"-";"-";"<E>";" battre";"-";" son";"-";" plein";"-";"-";"-";"§battre§son plein "
"67";"+";"-";"-";"-";"-";"<E>";" bomber";"-";" ses";"+";" pectoraux";"+";"+";"-";"§bomber§ses pectoraux "
"68";"+";"-";"-";"-";"-";"<E>";" bomber";"-";" sa";"+";" poitrine";"+";"+";"-";"§bomber§sa poitrine "
"69";"+";"-";"-";"-";"-";"<E>";" bomber";"-";" son";"+";" thorax";"+";"+";"-";"§bomber§son thorax "
"70";"+";"-";"-";"-";"-";"<E>";" bomber";"-";" son";"+";" torse";"+";"+";"-";"§bomber§son torse "
"71";"+";"-";"-";"-";"-";"<E>";" boucler";"-";" son";"-";" comptes";"-";"+";"-";"§boucler§son comptes "
"72";"+";"-";"-";"-";"-";"<E>";" boucler";"-";" ses";"+";" fins de mois";"-";"+";"-";"§boucler§ses fins de mois "
"73";"+";"-";"-";"-";"-";"<E>";" boucler";"-";" ses";"-";" valises";"-";"+";"-";"§boucler§ses valises "
"74";"+";"-";"-";"-";"+";"ne";" bouder";"-";" son";"+";" plaisir";"-";"-";"-";"§ne bouder§son plaisir "
"75";"+";"-";"-";"-";"-";"<E>";" briser";"-";" ses";"-";" chaînes";"-";"+";"-";"§briser§ses chaînes "
"76";"+";"-";"-";"-";"-";"<E>";" brûler";"-";" sa dernière";"-";" cartouche";"-";"+";"-";"§brûler§sa dernière cartouche "
"77";"+";"-";"-";"-";"-";"<E>";" brûler";"-";" ses dernières";"-";" cartouches";"-";"+";"-";"§brûler§ses dernières cartouches "
"78";"+";"-";"-";"-";"-";"<E>";" brûler";"-";" ses";"-";" vaisseaux";"-";"-";"-";"§brûler§ses vaisseaux "
"79";"+";"-";"-";"-";"-";"<E>";" calculer";"+";" son";"-";" geste";"-";"+";"-";"§calculer§son geste "
"80";"+";"+";"-";"-";"-";"<E>";" caler";"+";" sa";"+";" auto";"-";"+";"-";"§caler§sa auto "
"81";"+";"+";"-";"-";"-";"<E>";" caler";"+";" sa";"+";" automobile";"-";"+";"-";"§caler§sa automobile "
"82";"+";"+";"-";"-";"-";"<E>";" caler";"+";" sa";"+";" camion";"-";"+";"-";"§caler§sa camion "
"83";"+";"+";"-";"-";"-";"<E>";" caler";"+";" son";"+";" moteur";"-";"+";"-";"§caler§son moteur "
"84";"+";"+";"-";"-";"-";"<E>";" caler";"+";" sa";"+";" tracteur";"-";"+";"-";"§caler§sa tracteur "
"85";"+";"+";"-";"-";"-";"<E>";" caler";"+";" sa";"+";" voiture";"-";"+";"-";"§caler§sa voiture "
"86";"+";"+";"-";"-";"-";"<E>";" caler";"+";" son";"+";"Nvoiture";"-";"+";"-";"§caler§sa Nvoiture "
"87";"+";"+";"-";"-";"-";"<E>";" caler";"+";" sa";"+";"Renault";"-";"+";"-";"§caler§sa Renault "
"88";"+";"-";"-";"-";"-";"<E>";" casser";"-";" sa";"-";" pipe";"-";"-";"-";"§casser§sa pipe "
"89";"+";"-";"-";"-";"-";"<E>";" casser";"-";" sa";"-";" tirelire";"-";"-";"-";"§casser§sa tirelire "
"90";"+";"-";"-";"-";"-";"<E>";" cesser";"-";" ses";"-";" paiements";"-";"+";"-";"§cesser§ses paiements "
"91";"+";"-";"-";"-";"-";"<E>";" changer";"-";" ses";"-";" batteries";"-";"-";"-";"§changer§ses batteries "
"92";"+";"-";"-";"-";"-";"<E>";" châtier";"-";" son";"+";" langage";"-";"+";"-";"§châtier§son langage "
"93";"+";"-";"-";"-";"-";"<E>";" châtier";"-";" son";"+";" style";"-";"+";"-";"§châtier§son style "
"94";"+";"-";"-";"-";"-";"<E>";" châtier";"-";" son";"-";" style";"-";"+";"-";"§châtier§son style "
"95";"+";"-";"-";"-";"-";"<E>";" chausser";"-";" ses";"+";" bésicles";"-";"+";"+";"§chausser§ses bésicles "
"96";"+";"-";"-";"-";"-";"<E>";" chausser";"-";" ses";"+";" lunettes";"-";"+";"+";"§chausser§ses lunettes "
"97";"+";"-";"-";"-";"-";"<E>";" chercher";"-";" son";"-";" chemin";"-";"-";"-";"§chercher§son chemin "
"98";"+";"-";"-";"-";"-";"<E>";" chercher";"-";" son";"-";" malheur";"-";"-";"-";"§chercher§son malheur "
"99";"+";"-";"-";"-";"-";"<E>";" chercher";"-";" ses";"-";" mots";"-";"-";"-";"§chercher§ses mots "
"100";"+";"-";"-";"-";"-";"<E>";" chercher";"-";" ses";"+";" racines";"-";"-";"-";"§chercher§ses racines "
"101";"+";"-";"-";"-";"-";"<E>";" chercher";"-";" sa";"-";" route";"-";"-";"-";"§chercher§sa route "
"102";"+";"-";"-";"-";"-";"<E>";" chercher";"-";" sa";"-";" vocation";"-";"-";"-";"§chercher§sa vocation "
"103";"+";"-";"-";"-";"-";"<E>";" chercher";"-";" sa";"-";" voie";"-";"-";"-";"§chercher§sa voie "
"104";"+";"-";"-";"-";"-";"<E>";" choisir";"-";" son";"-";" camp";"-";"-";"-";"§choisir§son camp "
"105";"+";"-";"-";"-";"-";"<E>";" choisir";"-";" ses";"-";" mots";"-";"+";"-";"§choisir§ses mots "
"106";"+";"-";"-";"-";"-";"<E>";" comprendre";"-";" sa";"-";" douleur";"-";"-";"-";"§comprendre§sa douleur "
"107";"+";"-";"-";"-";"-";"<E>";" comprimer";"-";" ses";"-";" larmes";"+";"+";"-";"§comprimer§ses larmes "
"108";"+";"-";"-";"-";"-";"<E>";" compter";"-";" ses";"-";" mots";"-";"+";"-";"§compter§ses mots "
"109";"+";"-";"-";"-";"-";"<E>";" compter";"-";" ses";"-";" pas";"-";"+";"-";"§compter§ses pas "
"110";"+";"-";"-";"-";"-";"<E>";" connaître";"-";" ses";"-";" classiques";"-";"-";"-";"§connaître§ses classiques "
"111";"+";"-";"-";"-";"-";"<E>";" connaître";"-";" sa";"-";" douleur";"-";"-";"-";"§connaître§sa douleur "
"112";"+";"-";"-";"-";"-";"<E>";" connaître";"-";" son";"-";" limites";"-";"+";"-";"§connaître§ses limites "
"113";"+";"-";"-";"-";"-";"<E>";" connaître";"-";" son";"-";" métier";"-";"-";"-";"§connaître§son métier "
"114";"+";"-";"-";"-";"-";"<E>";" connaître";"-";" son";"-";" monde";"-";"-";"-";"§connaître§son monde "
"115";"+";"-";"-";"-";"+";"ne";" connaître pas";"-";" son";"-";" bonheur";"-";"-";"-";"§ne connaître pas§son bonheur "
"116";"+";"-";"-";"-";"+";"ne";" connaître pas";"-";" sa";"-";" force";"-";"-";"-";"§ne connaître pas§sa force "
"117";"+";"-";"-";"-";"-";"<E>";" conserver";"-";" sa";"-";" chemise";"-";"-";"-";"§conserver§sa chemise "
"118";"+";"-";"-";"-";"-";"<E>";" conserver";"-";" sa";"+";" droite";"-";"-";"-";"§conserver§sa droite "
"119";"+";"-";"-";"-";"-";"<E>";" conserver";"-";" son";"+";" nom de jeune fille";"-";"+";"-";"§conserver§son nom de jeune fille "
"120";"+";"-";"-";"-";"-";"<E>";" conserver";"-";" son";"-";" sérieux";"-";"-";"-";"§conserver§son sérieux "
"121";"+";"-";"-";"-";"-";"<E>";" consommer";"-";" son";"-";" mariage";"-";"+";"-";"§consommer§son mariage "
"122";"+";"-";"-";"-";"-";"<E>";" contenir";"-";" son";"-";" émotion";"-";"+";"-";"§contenir§son émotion "
"123";"+";"-";"-";"-";"-";"<E>";" contenir";"-";" son";"-";" sentiment";"-";"+";"-";"§contenir§son sentiment "
"124";"+";"+";"-";"-";"-";"<E>";" continuer";"-";" son petit";"-";" bonhommme de chemin";"-";"-";"-";"§continuer§son petit bonhommme de chemin "
"125";"+";"-";"-";"-";"-";"<E>";" continuer";"-";" son";"+";" chemin";"-";"-";"-";"§continuer§son chemin "
"126";"+";"-";"-";"-";"-";"<E>";" continuer";"-";" sa";"+";" route";"-";"-";"-";"§continuer§sa route "
"127";"+";"-";"-";"-";"-";"<E>";" contrôler";"-";" ses";"-";" nerfs";"+";"-";"-";"§contrôler§ses nerfs "
"128";"+";"-";"-";"-";"-";"<E>";" cracher";"-";" ses";"-";" poumons";"-";"-";"-";"§cracher§ses poumons "
"129";"+";"-";"-";"-";"-";"<E>";" cracher";"-";" son";"-";" venin";"-";"-";"-";"§cracher§son venin "
"130";"+";"-";"-";"-";"-";"<E>";" creuser";"-";" sa propre";"-";" fosse";"-";"+";"-";"§creuser§sa propre fosse "
"131";"+";"-";"-";"-";"-";"<E>";" creuser";"-";" son";"-";" sillon";"-";"+";"-";"§creuser§son sillon "
"132";"+";"-";"+";"-";"+";"n'en";" croire";"-";" ses";"-";" oreilles";"+";"-";"-";"§n'en croire§ses oreilles "
"133";"+";"-";"+";"-";"+";"n'en";" croire";"-";" ses";"-";" yeux";"+";"-";"-";"§n'en croire§ses yeux "
"134";"+";"-";"-";"-";"-";"<E>";" croiser";"-";" ses";"-";" bras";"+";"+";"+";"§croiser§ses bras "
"135";"+";"-";"-";"-";"-";"<E>";" cultiver";"-";" son";"+";" esprit";"-";"+";"+";"§cultiver§son esprit "
"136";"+";"-";"-";"-";"-";"<E>";" cultiver";"-";" son";"-";" jardin";"-";"-";"-";"§cultiver§son jardin "
"137";"+";"-";"-";"-";"-";"<E>";" cuver";"-";" son";"-";" vin";"-";"+";"-";"§cuver§son vin "
"138";"+";"-";"-";"-";"-";"<E>";" déballer";"-";" sa";"-";" camelote";"-";"+";"-";"§déballer§sa camelote "
"139";"+";"-";"-";"-";"-";"<E>";" déballer";"-";" son";"-";" linge sale";"-";"+";"-";"§déballer§son linge sale "
"140";"+";"-";"-";"-";"-";"<E>";" déballer";"-";" sa";"-";" marchandise";"-";"+";"-";"§déballer§sa marchandise "
"141";"+";"-";"-";"-";"-";"<E>";" décliner";"-";" son";"-";" identité";"-";"+";"-";"§décliner§son identité "
"142";"+";"-";"-";"-";"-";"<E>";" découvrir";"-";" ses";"+";" dents";"+";"-";"-";"§découvrir§ses dents "
"143";"+";"-";"-";"-";"-";"<E>";" découvrir";"-";" son";"+";" jeu";"-";"+";"-";"§découvrir§son jeu "
"144";"+";"-";"-";"-";"-";"<E>";" décrocher";"-";" son";"+";" téléphone";"-";"-";"-";"§décrocher§son téléphone "
"145";"+";"-";"-";"-";"-";"<E>";" défendre";"-";" ses";"-";" intérêts";"-";"-";"-";"§défendre§ses intérêts "
"146";"+";"-";"-";"-";"-";"<E>";" défendre";"-";" sa";"-";" patrie";"-";"-";"-";"§défendre§sa patrie "
"147";"+";"-";"-";"-";"-";"<E>";" défendre";"-";" son";"-";" pays";"-";"-";"-";"§défendre§son pays "
"148";"+";"-";"-";"-";"-";"<E>";" défiler";"-";" son";"-";" chapelet";"-";"+";"-";"§défiler§son chapelet "
"149";"+";"-";"-";"-";"-";"<E>";" demander";"-";" son";"+";" position";"-";"+";"-";"§demander§son position "
"150";"+";"-";"-";"-";"-";"<E>";" dépenser";"-";" jusqu'à son dernier";"-";" centime";"-";"+";"-";"§dépenser§jusqu'à son dernier centime "
"151";"+";"-";"-";"-";"-";"<E>";" dépenser";"-";" jusqu'à son dernier";"-";" sou";"-";"+";"-";"§dépenser§jusqu'à son dernier sou "
"152";"-";"+";"-";"-";"-";"<E>";" déployer";"-";" ses";"+";" ailes";"+";"+";"-";"§déployer§ses ailes "
"153";"+";"-";"-";"-";"-";"<E>";" déposer";"-";" ses";"+";" armes";"-";"+";"-";"§déposer§ses armes "
"154";"+";"-";"-";"-";"-";"<E>";" déposer";"-";" son";"-";" bilan";"-";"-";"-";"§déposer§son bilan "
"155";"+";"-";"-";"-";"-";"<E>";" déposer";"-";" ses";"+";" conclusions";"-";"+";"-";"§déposer§ses conclusions "
"156";"+";"+";"-";"-";"-";"<E>";" desserrer";"-";" son";"+";" étau";"-";"+";"-";"§desserrer§son étau "
"157";"+";"-";"-";"-";"-";"<E>";" dévider";"-";" son";"-";" chapelet";"-";"+";"-";"§dévider§son chapelet "
"158";"+";"-";"-";"-";"+";"ne";" dire";"-";" son dernier";"-";" mot";"-";"+";"-";"§ne dire§son dernier mot "
"159";"+";"-";"-";"-";"-";"<E>";" dire";"-";" ses";"+";" prières";"-";"-";"-";"§dire§ses prières "
"160";"+";"-";"-";"-";"-";"<E>";" distiller";"-";" son";"-";" venin";"-";"-";"-";"§distiller§son venin "
"161";"+";"-";"-";"-";"-";"<E>";" donner";"-";" son";"+";" bon à tirer";"-";"+";"-";"§donner§son bon à tirer "
"162";"+";"-";"-";"-";"-";"<E>";" donner";"-";" son";"+";" sang";"+";"+";"-";"§donner§son sang "
"163";"+";"-";"-";"-";"-";"<E>";" donner";"-";" son";"+";" sperme";"+";"+";"-";"§donner§son sperme "
"164";"+";"-";"-";"-";"-";"<E>";" dormir";"-";" son dernier";"-";" sommeil";"-";"-";"-";"§dormir§son dernier sommeil "
"165";"+";"-";"-";"-";"-";"<E>";" dresser";"-";" ses";"+";" batteries";"-";"+";"-";"§dresser§ses batteries "
"166";"+";"-";"-";"-";"-";"<E>";" durcir";"-";" sa";"+";" position";"-";"+";"-";"§durcir§sa position "
"167";"+";"-";"-";"-";"-";"<E>";" échauffer";"-";" ses";"-";" muscles";"+";"+";"+";"§échauffer§ses muscles "
"168";"+";"-";"-";"-";"-";"<E>";" éclaircir";"-";" sa";"-";" gorge";"+";"-";"+";"§éclaircir§sa gorge "
"169";"+";"-";"-";"-";"-";"<E>";" éclaircir";"-";" sa";"-";" voix";"-";"-";"+";"§éclaircir§sa voix "
"170";"+";"-";"-";"-";"-";"<E>";" écouter";"-";" sa";"+";" conscience";"-";"-";"-";"§écouter§sa conscience "
"171";"+";"-";"-";"-";"-";"<E>";" écouter";"-";" sa";"-";" mère";"-";"-";"-";"§écouter§sa mère "
"172";"+";"-";"-";"-";"-";"<E>";" écouter";"-";" ses";"-";" parents";"-";"-";"-";"§écouter§ses parents "
"173";"+";"-";"-";"-";"-";"<E>";" écouter";"-";" son";"-";" père";"-";"-";"-";"§écouter§son père "
"174";"+";"-";"-";"-";"+";"n'";" écouter que";"-";" son";"-";" coeur";"+";"-";"-";"§n'écouter que§son coeur "
"175";"+";"-";"-";"-";"+";"n'";" écouter que";"-";" son";"-";" courage";"-";"-";"-";"§n'écouter que§son courage "
"176";"+";"-";"-";"-";"+";"n'";" écouter que";"-";" son";"-";" devoir";"-";"-";"-";"§n'écouter que§son devoir "
"177";"+";"-";"-";"-";"-";"<E>";" écrire";"-";" ses";"+";" mémoires";"-";"+";"-";"§écrire§ses mémoires "
"178";"+";"-";"-";"-";"-";"<E>";" égrener";"-";" son";"-";" chapelet";"-";"+";"-";"§égrener§son chapelet "
"179";"-";"+";"-";"-";"-";"<E>";" égrener";"-";" ses";"+";" coups";"-";"-";"-";"§égrener§ses coups "
"180";"-";"+";"-";"-";"+";"n'";" engager que";"-";" son";"+";" auteur";"-";"-";"-";"§n'engager que§son auteur "
"181";"+";"-";"-";"-";"-";"<E>";" entendre";"-";" ses quatre";"-";" vérités";"-";"-";"-";"§entendre§ses quatre vérités "
"182";"+";"-";"-";"-";"-";"<E>";" enterrer";"-";" sa";"+";" vie de garcon";"-";"-";"-";"§enterrer§sa vie de garcon "
"183";"+";"-";"-";"-";"+";"n'";" épargner";"-";" ses";"+";" efforts";"-";"+";"-";"§n'épargner§ses efforts "
"184";"+";"-";"-";"-";"+";"n'";" épargner";"-";" sa";"-";" peine";"-";"+";"-";"§n'épargner§sa peine "
"185";"+";"-";"-";"-";"+";"n'";" épargner";"-";" sa";"-";" salive";"-";"+";"-";"§n'épargner§sa salive "
"186";"+";"-";"-";"-";"-";"<E>";" épouser";"-";" son";"-";" temps";"-";"-";"-";"§épouser§son temps "
"187";"+";"-";"-";"-";"-";"<E>";" essayer";"-";" ses";"-";" ailes";"+";"+";"-";"§essayer§ses ailes "
"188";"+";"-";"-";"-";"-";"<E>";" étaler";"-";" sa";"-";" camelote";"-";"+";"-";"§étaler§sa camelote "
"189";"+";"-";"-";"-";"-";"<E>";" étaler";"-";" son";"-";" jeu";"-";"+";"-";"§étaler§son jeu "
"190";"+";"-";"-";"-";"-";"<E>";" étaler";"-";" sa";"-";" marchandise";"-";"+";"-";"§étaler§sa marchandise "
"191";"+";"-";"-";"-";"-";"<E>";" étendre";"-";" ses";"+";" conquêtes";"-";"+";"-";"§étendre§ses conquêtes "
"192";"+";"-";"-";"-";"-";"<E>";" étirer";"-";" ses";"-";" membres";"+";"+";"+";"§étirer§ses membres "
"193";"+";"-";"-";"-";"-";"<E>";" expédier";"-";" son";"+";" repas";"-";"+";"-";"§expédier§son repas "
"194";"+";"-";"-";"-";"-";"<E>";" faire";"-";" ses";"-";" Pâques";"-";"+";"-";"§fait§ses Pâques "
"195";"+";"-";"-";"-";"-";"<E>";" faire";"-";" ses";"-";" ablutions";"-";"+";"-";"§fait§ses ablutions "
"196";"+";"-";"-";"-";"+";"ne";" faire";"-";" son";"-";" âge";"-";"-";"-";"§ne fait§son âge "
"197";"-";"+";"-";"-";"-";"<E>";" faire";"-";" son";"+";" apparition";"-";"-";"-";"§fait§son apparition "
"198";"+";"-";"-";"-";"-";"<E>";" faire";"-";" son";"+";" autocritique";"-";"-";"-";"§fait§son autocritique "
"199";"+";"-";"-";"-";"-";"<E>";" faire";"-";" son";"+";" autoportrait";"-";"+";"-";"§fait§son autoportrait "
"200";"+";"-";"-";"-";"-";"<E>";" faire";"-";" son";"-";" baluchon";"-";"+";"-";"§fait§son baluchon "
"201";"+";"-";"-";"-";"-";"<E>";" faire";"-";" son";"-";" beurre";"-";"-";"-";"§fait§son beurre "
"202";"+";"-";"-";"-";"-";"<E>";" faire";"-";" son";"-";" chemin";"-";"-";"-";"§fait§son chemin "
"203";"-";"+";"-";"-";"-";"<E>";" faire";"-";" son";"-";" chemin";"-";"-";"-";"§fait§son chemin "
"204";"+";"-";"-";"-";"-";"<E>";" faire";"-";" sa";"-";" chochotte";"-";"-";"-";"§fait§sa chochotte "
"205";"+";"-";"-";"-";"-";"<E>";" faire";"-";" ses";"-";" classes";"-";"+";"-";"§fait§ses classes "
"206";"+";"-";"-";"-";"-";"<E>";" faire";"-";" sa grande";"-";" commission";"-";"+";"-";"§fait§sa grande commission "
"207";"+";"-";"-";"-";"-";"<E>";" faire";"-";" sa petite";"-";" commission";"-";"+";"-";"§fait§sa petite commission "
"208";"+";"-";"-";"-";"-";"<E>";" faire";"-";" ses";"-";" comptes";"-";"-";"-";"§fait§ses comptes "
"209";"+";"-";"-";"-";"-";"<E>";" faire";"-";" ses";"+";" courses";"-";"+";"-";"§fait§ses courses "
"210";"+";"+";"-";"-";"-";"<E>";" faire";"-";" ses";"+";" débuts";"-";"-";"-";"§fait§ses débuts "
"211";"+";"-";"-";"-";"-";"<E>";" faire";"-";" son";"-";" devoir";"-";"-";"-";"§fait§son devoir "
"212";"+";"-";"-";"-";"-";"<E>";" faire";"-";" ses";"-";" devoirs";"-";"+";"-";"§fait§ses devoirs "
"213";"+";"-";"-";"-";"-";"<E>";" faire";"-";" sa";"-";" digestion";"-";"+";"+";"§fait§sa digestion "
"214";"+";"+";"-";"-";"-";"<E>";" faire";"-";" son";"-";" effet";"-";"-";"-";"§fait§son effet "
"215";"+";"+";"-";"-";"-";"<E>";" faire";"-";" son petit";"-";" effet";"-";"-";"-";"§fait§son petit effet "
"216";"+";"-";"-";"-";"-";"<E>";" faire";"-";" son";"+";" foin";"-";"+";"-";"§fait§son foin "
"217";"+";"-";"-";"-";"-";"<E>";" faire";"-";" ses";"-";" frais";"-";"-";"-";"§fait§ses frais "
"218";"+";"-";"-";"-";"-";"<E>";" faire";"-";" sa";"-";" malle";"-";"+";"+";"§fait§sa malle "
"219";"+";"-";"-";"-";"-";"<E>";" faire";"-";" son";"-";" marché";"-";"+";"-";"§fait§son marché "
"220";"+";"-";"-";"-";"-";"<E>";" faire";"-";" son";"-";" mea culpa";"-";"+";"-";"§fait§son mea culpa "
"221";"+";"-";"-";"-";"-";"<E>";" faire";"-";" son";"-";" métier";"-";"+";"-";"§fait§son métier "
"222";"+";"-";"-";"-";"-";"<E>";" faire";"-";" son";"-";" nom";"-";"-";"+";"§fait§son nom "
"223";"+";"-";"-";"-";"-";"<E>";" faire";"-";" sa";"-";" nuit";"-";"-";"-";"§fait§sa nuit "
"224";"-";"+";"-";"-";"-";"<E>";" faire";"-";" son";"+";" oeuvre";"-";"+";"-";"§fait§son oeuvre "
"225";"-";"+";"-";"-";"-";"<E>";" faire";"-";" son";"-";" office";"-";"-";"-";"§fait§son office "
"226";"+";"-";"-";"-";"-";"<E>";" faire";"-";" sa";"-";" part du chemin";"-";"+";"-";"§fait§sa part du chemin "
"227";"+";"-";"-";"-";"-";"<E>";" faire";"-";" sa";"-";" pelote";"-";"-";"-";"§fait§sa pelote "
"228";"+";"+";"-";"-";"-";"<E>";" faire";"-";" ses";"-";" preuves";"-";"+";"-";"§fait§ses preuves "
"229";"+";"-";"-";"-";"-";"<E>";" faire";"-";" sa";"+";" prière";"-";"+";"-";"§fait§sa prière "
"230";"+";"-";"-";"-";"-";"<E>";" faire";"-";" sa";"+";" rentrée";"-";"-";"-";"§fait§sa rentrée "
"231";"+";"-";"-";"-";"-";"<E>";" faire";"-";" son";"-";" service militaire";"-";"+";"-";"§fait§son service militaire "
"232";"+";"-";"-";"-";"-";"<E>";" faire";"-";" sa";"-";" sophie";"-";"-";"-";"§fait§sa sophie "
"233";"+";"-";"-";"-";"-";"<E>";" faire";"-";" son";"-";" temps";"-";"+";"-";"§fait§son temps "
"234";"-";"+";"-";"-";"-";"<E>";" faire";"-";" son";"-";" temps";"-";"-";"-";"§fait§son temps "
"235";"+";"-";"-";"-";"-";"<E>";" faire";"-";" sa";"-";" tête des grands jours";"+";"+";"-";"§fait§sa tête des grands jours "
"236";"+";"-";"-";"-";"-";"<E>";" faire";"-";" sa";"+";" toilette";"-";"+";"+";"§fait§sa toilette "
"237";"+";"-";"-";"-";"-";"<E>";" faire";"-";" son";"-";" travail";"-";"+";"-";"§fait§son travail "
"238";"+";"-";"-";"-";"-";"<E>";" faire";"-";" son";"-";" trou";"-";"-";"-";"§fait§son trou "
"239";"+";"-";"-";"-";"-";"<E>";" faire";"-";" sa";"-";" valise";"-";"+";"+";"§fait§sa valise "
"240";"+";"-";"-";"-";"-";"<E>";" faire";"-";" sa";"-";" vie";"-";"+";"-";"§fait§sa vie "
"241";"+";"-";"-";"-";"-";"<E>";" fermer";"-";" son";"-";" bec ";"+";"-";"-";"§fermer§son bec "
"242";"+";"-";"-";"-";"-";"<E>";" fermer";"-";" sa";"-";" boîte";"+";"-";"-";"§fermer§sa boîte "
"243";"+";"-";"-";"-";"-";"<E>";" fermer";"-";" son";"-";" clapet ";"+";"-";"-";"§fermer§son clapet "
"244";"+";"-";"-";"-";"-";"<E>";" fermer";"-";" sa";"-";" garde";"-";"+";"-";"§fermer§sa garde "
"245";"+";"-";"-";"-";"-";"<E>";" fermer";"-";" sa";"-";" gueule";"+";"-";"-";"§fermer§sa gueule "
"246";"-";"+";"-";"-";"-";"<E>";" fermer";"-";" ses";"-";" portes";"-";"+";"-";"§fermer§ses portes "
"247";"+";"-";"-";"-";"-";"<E>";" fignoler";"-";" son";"+";" travail";"-";"+";"-";"§fignoler§son travail "
"248";"+";"+";"-";"-";"-";"<E>";" finir";"-";" son";"-";" temps";"-";"+";"-";"§finir§son temps "
"249";"+";"-";"-";"-";"-";"<E>";" forcer";"-";" sa";"+";" nature";"-";"+";"-";"§forcer§sa nature "
"250";"+";"-";"-";"-";"-";"<E>";" forcer";"-";" son";"+";" talent";"-";"+";"-";"§forcer§son talent "
"251";"+";"-";"-";"-";"-";"<E>";" fourbir";"-";" ses";"-";" armes";"-";"-";"-";"§fourbir§ses armes "
"252";"+";"-";"-";"-";"-";"<E>";" fuir";"-";" ses";"-";" responsabilités";"-";"-";"-";"§fuir§ses responsabilités "
"253";"+";"-";"-";"-";"-";"<E>";" gagner";"-";" son";"-";" pari";"-";"+";"-";"§gagner§son pari "
"254";"+";"-";"-";"-";"-";"<E>";" garder";"-";" son";"+";" anonymat";"-";"+";"-";"§garder§son anonymat "
"255";"+";"-";"-";"-";"-";"<E>";" garder";"-";" sa";"-";" chemise";"-";"-";"-";"§garder§sa chemise "
"256";"+";"-";"-";"-";"-";"<E>";" garder";"-";" sa";"+";" droite";"-";"-";"-";"§garder§sa droite "
"257";"+";"-";"-";"-";"-";"<E>";" garder";"-";" son";"+";" incognito";"-";"+";"-";"§garder§son incognito "
"258";"+";"-";"-";"-";"-";"<E>";" garder";"-";" son";"+";" nom de jeune fille";"-";"+";"-";"§garder§son nom de jeune fille "
"259";"+";"-";"-";"-";"-";"<E>";" garder";"-";" son";"-";" sérieux";"-";"-";"-";"§garder§son sérieux "
"260";"+";"-";"-";"-";"-";"<E>";" gaspiller";"-";" sa";"-";" salive";"-";"+";"-";"§gaspiller§sa salive "
"261";"+";"-";"-";"-";"-";"<E>";" gratter";"-";" sa";"-";" tête";"+";"-";"+";"§gratter§sa tête "
"262";"+";"-";"-";"-";"-";"<E>";" gravir";"-";" son";"+";" calvaire";"-";"-";"-";"§gravir§son calvaire "
"263";"+";"-";"-";"-";"-";"<E>";" honorer";"-";" ses";"+";" échéances";"-";"+";"-";"§honorer§ses échéances "
"264";"+";"-";"-";"-";"-";"<E>";" honorer";"-";" ses";"+";" engagements";"-";"+";"-";"§honorer§ses engagements "
"265";"+";"-";"-";"-";"-";"<E>";" honorer";"-";" sa";"-";" mère";"-";"+";"-";"§honorer§sa mère "
"266";"+";"-";"-";"-";"-";"<E>";" honorer";"-";" ses";"-";" parents";"-";"+";"-";"§honorer§ses parents "
"267";"+";"-";"-";"-";"-";"<E>";" honorer";"-";" sa";"+";" parole";"-";"+";"-";"§honorer§sa parole "
